CARGOS,LIQUIDACION,CANASTABASICA,
Director D.E.M.E.S.,266983,128214,
Director D.N.I.P.y P,266983,,
Asesor Técnico,200906,64,
Director D.A.E.I.,266983,,
Director D.E.A,266983,,
Director D.E.F.,266983,,
Subdirector D.I.I.E.,263831,,
Subdirector D.E.M.E.S.,263831,,
Subdirector Perfecc.Educativo,263831,,
Subdirector D.N.I.P.y P.,263831,,
Subdirector D.I.P.E.,263831,,
Inspector Gral. D.N.I.P. y P.,229125,,
Subdirector D.A.E.I.,263831,,
Subdirector D.E.F.,263831,,
Inspector Gral.D.E.M.E.S.,229125,,
Inspector Gral. D.I.P.E.,229125,,
Inspector Gral. D.E.F.,229125,,
Subinspector Gral. D.E.F.,198097,,
Subinspector Gral. D.N.I.P. y P.,225920,,
Inspector Gral.InstitutodelMenor,245058,,
Inspector D.E.M.E.S.,221914,,
Inspector de Jovenes y Adultos,221914,,
Inspector D.E.F.,221914,,
Inspector Educación Complem.,221914,,
Inspector Instituto del Menor,237126,,
Jefe Departamento Nutrición,194090,,
Inspector D.N.I.P.y P.,221914,,
Supervisor Enseñanza Religiosa,221914,,
Jefe Departamento Planeamiento,144184,,
Analista Mayor Planeamiento,139735,,
Analista Principal Planeamiento,138575,,
Presidente Junta Clas. Primaria,221914,,
Vocal Junta Clas. Primaria,145158,,
Miembro Vocal de Junta D.E.M.E.S.,174386,,
Director de 1ª Enseñanza Superior,155816,,
Director de 2ª Enseñanza Superior,147389,,
Vicedirector de Enseñ. Superior,147389,,
Regente de Enseñ. Superior,137663,,
Director de 1ª Ens. Media J.Comp,182697,,
Director de 2ª Ens. Media J.Comp,172639,,
Director de 3ª Ens. Media J.Comp,175513,,
Director de 1ª Ens. Media,149434,,
Director de 1ª Ens. Especial,151165,,
Director de 2ª Ens. Media,145455,,
Director de 2ª Ens. Especial,147186,,
Director de 3ª Ens. Media,137166,,
Director de 3ª Ens. Especial,138897,,
Vicedirector Ens. Media J. Compl.,165349,,
Vicedirector de 1ª  Ens. Media,139791,,
Vicedirector de 1ª  Ens. Especial,141522,,
Vicedirector de 2ª  Ens. Media,132607,,
Vicedirector de 2ª  Ens. Especial,134338,,
Vicedirector de 3ª  Ens. Media,128407,,
Vicedirector de 3ª  Ens. Especial,130139,,
Asesor Pedagógico Proyecto 13,144709,,
Regente de 1ª Ens. Media,134403,,
Regente de 1ª Ens. Media J. Com.,160376,,
Regente de 1ª Ens. Primaria,134403,,
Regente de 2ª Ens. Media J. Com.,146172,,
Regente Educación Artística,134403,,
Regente de 3ª Ens. Media J. Com.,143962,,
Director de Coro,108652,,
Director de Coro Jornada Reducida,108652,,
Director de Orquesta de Ctro.Educ,92305,,
Jefe Gabinete Psicopedagógico,129790,,
Regente de 2ª Ens. Media,131916,,
Regente de 3ª Ens. Media,123572,,
Regente de 2ª Ens. Primaria,131916,,
Subregente de 1ª Ens. Media,117934,,
Subregente de 1ª Ens. Primaria,126335,,
Jefe Departamento Didáctico,121662,,
Coordinador Curso Ens. Superior,118831,,
Coordinador Curso Ens. Media,113193,,
Director Cantina Base,131061,,
Director de 1ª Ens. Primaria,135883,,
Director de 1ª Ens. Primaria (Jardin Inf),136233,,
Director de 2ª Ens. Primaria,123462,,
Director de 2ª Ens. Primaria (Jardin Inf),123812,,
Director de 3ª Ens. Primaria,116555,,
Director de 3ª Ens. Primaria (Jardin Inf),116905,,
Vicedirector Ens. Primaria,123462,,
Regente Ctro. Educ. Complemen.,131916,,
Dir. 1ª Ctro. Dep. Educ. Física,133763,,
Dir. 2ª Ctro. Dep. Educ. Física,134772,,
Dir. 3ª Ctro. Dep. Educ. Física,117835,,
Coordinador Reg. Educ. Física,122463,,
Vicedirec. de 1ª Ctro.Dep.Ed.F.,134703,,
Vicedirec. de 2ª Ctro.Dep.Ed.F.,114628,,
Vicedirec. de 3ª Ctro.Dep.Ed.F.,95591,,
Secretario (Enseñanza Superior),118270,,
Prosecr. Docente Ens. Superior,100919,,
Secretario Doc. de 1ª Ens. Media,118270,,
Secretario Doc. de 2ª Ens. Media,115425,,
Secretario Doc. de 3ª Ens. Media,107246,,
Prosecr. Doc. de 1ª Ens. Media,100919,,
Prosecr. Doc. de 2ª Ens. Media,90889,,
Prosecr. Doc. de 3ª Ens. Media,89894,,
Secretario Docente Ens. Especial,122932,,
Prosecr. Docente Ens. Especial,112681,,
Secr. Doc. de 1ª Ens. Primaria,130623,,
Secr. Doc. de 2ª Ens. Primaria,127777,,
Secr. Doc. de 3ª Ens. Primaria,118824,,
Secr. Doc. de 4ª Ens. Primaria,111917,,
Secr. Doc. de 5ª Ens. Primaria,101887,,
Jefe de Internado,130559,,
Jefe Enseñanza Practica de 1ª,129790,,
Jefe Enseñanza Practica de 2ª,127303,,
Jefe Enseñanza Practica de 3ª,110918,,
Instructor Jor. Compl. Agr.,145967,,
Jefe Sección Jorn. Completa,158525,,
Instructor Enfermería,105376,,
Encar.Secc.Gab.Psicop.(Med. y Sup.),111760,,
Encar.Secc.Gab.Psicop.(Especial),113491,,
Jefe de Gabinete Psicoped. (Primar.),125609,,
Ayudante de Gab. Psic. Ens. M y Sup,101284,,
Ayudante de Gab. Psic. Ens. Esp.,103016,,
Ayudante de Gab. Psic. Ens. Prim.,92749,,
Maestro de Grupo Escolar,101703,,
Maestro de Grado Ens. Especial,103569,,
Reeducador Especial,92850,,
Encargado de Taller,99109,,
Jefe de Trabajos Prácticos,106465,,
Jefe de Laboratorio,106465,,
Jefe de Gabinete Contabilidad,93436,,
Jefe de Dpto. Educ. Física,88174,,
Prof. Ctro. Depor. Educ. Física,93302,,
Jefe de Ens. Pract. Ens. Especial,127676,,
Jefe de Sección Ens. Practica,104466,,
Maestra de Grado Ens. Primaria,101837,,
Maestro de D. E. A.,101837,,
Maestro de Jardín de Infantes,101837,,
Maestro Ens. Practica Ens. Esp.,103569,,
Maestro Enseñanza Practica,101837,,
Maestro de Grado Artístico,93302,,
Maestro de Grado Artístico Jorn. Red.,93302,,
Maestro de Grado de Adultos,95814,,
Maestro Cultura General,101703,,
Bibliotecario Jefe,101837,,
Bibliotecario,94817,,
Ayudante Técnico,91557,,
Jefe de Preceptores J. Completa,129588,,
Jefe de Preceptores,106465,,
Subjefe de Preceptores de 1ª,100069,,
Maestro Cultura Rural Dom,90704,,
Maestro Materia Especial,92220,,
Maestro Mat. Esp. - Ex. Cons. Menor,112421,,
Maestro Esp Artística,87637,,
Preceptor,94817,,
Preceptor Escuela de Mod Especial,96549,,
Director de 1ª Inst. del Menor,187512,,
Director de 2ª Inst. del Menor,178507,,
Director de 3ª Inst. del Menor,169389,,
Vicedir de 1ª Instit. del Menor,163876,,
Vicedir de 2ª Instit. del Menor,155974,,
Vicedir de 3ª Instit. del Menor,151354,,
Regente de Instituto del Menor,157949,,
Secr. Doc. de 1ª Inst. Menor,172752,,
Secr. Doc. de 2ª Inst. Menor,168375,,
Maestro de Inst. de Menores,134237,,
Dir. de 1ª Jornada Completa,183858,,
Dir. de 2ª Jornada Completa,171645,,
Dir. de 3ª Jornada Completa,161256,,
Vicedirector Jornada Completa,171645,,
Maestro Grado Jorn. Completa,143693,,
Maestro Ram. Esp. Jor. Compl.,120290,,
Director Escuela Hogar,172419,,
Director 2ª Anexo Albergue,171645,,
Director 3ª Anexo Albergue,161256,,
Maestro Anexo Albergue,143693,,
Maestro Ram. Esp. An. Alber.,119708,,
Vicedir. Esc. Hogar Te.,157333,,
Secretario Téc. Esc. Hogar,140316,,
Jefe Serv. Soc. Esc. Hogar,136839,,
Visitador Higiene Social,128222,,
Maestro Grado Esc. Hogar,143693,,
Preceptor Jor Compl, Esc Hogar, An Alb,112828
AdministrativoA,95480,,
AdministrativoB,95891,,
AdministrativoC,96301,,
AdministrativoD,97533,,
AdministrativoE,98560,,
AdministrativoF,100065,,
CajeroA,95822,,
CajeroB,96301,,
CajeroC,96917,,
Personal AuxiliarA,95822,,
Personal AuxiliarB,96507,,
Personal AuxiliarC,98765,,
Auxiliar EspecializadoA,96644,,
Auxiliar EspecializadoB,97875,,
VendedorA,95822,,
VendedorB,97876,,
VendedorC,98560,,
VendedorD,100065,,
Administrador de Bases de datos Junior,244384,,
Administrador de Bases de datos Senior,360030,,
Administrador de ISP,325663,,
Administrador de Redes /Telecomunicaciones Junior,226928,,
Administrador de Redes /Telecomunicaciones Senior,325663,,
Administrador de Seguridad Informática Junior,229655,,
Administrador de Seguridad Informática Senior,311480,,
Administrador de Servicio Centrales Junior,226928,,
Administrador de Servicio Centrales Senior,325663,,
Administrador Profesional de Proyectos Junior,244384,,
Administrador Profesional de Proyectos Senior,360030,,
Analista de Calidad Junior,175651,,
Analista de Calidad Senior,250384,,
Analista de Negocios,251475,,
Analista de Producción Junior,193652,,
Analista de Producción Senior,304934,,
Analista de Testing Junior,175651,,
Analista de Testing Senior,250384,,
Analista de Usabilidad/UX,277659,,
Analista Funcional Junior,176742,,
Analista Funcional Senior,251475,,
Analista Junior,226928,,
Analista Programador Junior,226928,,
Analista Programador Senior,363303,,
Analista Senior,363303,,
Arquitecto de Software,409670,,
Arquitectura de Datos,409670,,
Arquitectura de Infraestructura,372576,,
Arquitectura de Redes / Telecomunicaciones,340392,,
Auditor Interno Informático,339846,,
Auxiliar de Informático,105281,,
Community Manager,157104,,
Consultor BI/IA,427672,,
Consultor Informático,403670,,
Consultor Infraestructura,373667,,
Consultor Seguridad de la Información,427672,,
Consultoría Comercio Electrónico,327300,,
Dibujante de articulación PC,146194,,
Diseñador de Usabilidad (UX Usab Experience),277659,,
Diseñador Gráfico Junior,172378,,
Diseñador Gráfico Senior,244929,,
Diseñador Industrial,259112,,
Diseñador Multimedia/ Transmedia,261294,,
Diseño de Páginas Web,230746,,
Especialista en Comercio Electrónico,499678,,
Game Designer,318026,,
Gerente de Sistemas de Grandes Empresas,1071907,,
Gerente de Sistemas PYMES,622415,,
Gestor de Configuración Profesional,223109,,
Ingenieros,412398,,
Instructor Informático,165286,,
Investigacion y Desarrollo,157104,,
Jefe de Aplicaciones/Desarrollo,493677,,
Jefe de Seguridad Informática,455492,,
Jefe de soporte/ operador,399306,,
Jefe de Tecnologia/Infraestructura,470766,,
Lider/Jefe de Proyectos,400397,,
Mesa de Ayuda/Agent Call-Contact Center,124919,,
Perito Informático,467493,,
Profesor Informático,208926,,
Programador .net/java Junior,226928,,
Programador .net/java Senior,355120,,
Programador Ambientes propietario/Windows/Oracle,315299,,
