Precio,Descripcion,Año,Km
2300000,VOYAGE CONFORT 16 / 2013 / 135MIL,2013,135000
5250000,VW GOLF 14 TSI TURBO CONFORTLINE MANUAL 2016 FULL,2016,69000
2800000,GOL TREND 16 PACK 1 5PTAS / 2016 / 75MIL ,2016,75000
53300,CRV LX 2WD AT ÚNICA MANO / 2021 / 13MIL ,2021,13000
1880000,VOYAGE CONFORTLINE 16 C/GNC / 2009 / 160MIL ,2009,160000
4100000,SENTRA ADVANCE 20 / 2018 / 101MIL ,2018,101000
4800000,TRACKER LTZ AT 4X4 GNC L/N / 2017 / 70MIL ,2017,70000
1550000,Vendo Volkswagen Gol Trend 16 Pack I,2011,139000
3150000,FOCUS S 16 / 2015 / 130MIL ,2015,130000
4550000,CAPTUR ZEN 20 / 2017 / 90MIL ,2017,90000
3300000,SURAN TRENDLINE 16 / 2016 / 100MIL ,2016,100000
4180000,2008 16 FELINE THP / 2017 / 56MIL ,2017,56000
28250,VENDO VW UP! High,2020,13000
3400000,CHEVROLET ONIX LTZ 2018,2018,100000
2950000,Vw Gol Trend 5p 2016,2016,46100
1200000,Renault Megane ( Vendo o permuto por moto),2007,229000
10000,Taunus modelo 84,1984,200000
3300000,VENDO Nuevo Ka S L/18 IMPECABLE PRIMERA MANO MUY POCOS ,2018,30000
1600000,CHEVROLET CELTA LT 14 NAFTA 2012,2012,171000
3150000,PEUGEOT 208 15 5PTAS ACTIVE 2017 NAFTA COLOR GRIS OSCURO,2017,66000
1200000,Vendo mi kangoo,2006,170000
600000,Vendo Renault megane,1998,260123
9000,For fiesta kinetic,2012,97000
3400000,Vendo C4 Lounge 16 HDI Feel Pack,2016,95000
2950000,Vendo ETIOS XLS impecable todo al dia titular caja de 6ta,2016,114000
2100000,VENDO/PERMUTO CHEVROLET AGILE 5P LS SPIRIT 14,2013,98000
1830000,FIAT PALIO FIRE 14 Impecable,2016,96000
1700000,VOLKSWAGEN SURAN HIGHLAND CUERO 2007,2007,169000
3500000,HONDA CRV LX A/T 2008,2008,167000
3000000,PEUGEOT 208 16 FELINE PK CUIR AÑO 2014 5 PUERTAS,2014,110000
1470000,GOL POWER 2011 3P GNC 5TA,2011,129500
1650000,Vendo Nissan Tiida 08 tekna full,2008,234684
2550000,208 Allure 16 con techo solar,2014,80000
980000,Peugeot 406 Sv 20 MT 4 Ptas / Nafta / 1998,1998,286000
1350000,Citroen C4 20 X 4 Ptas MT / Nafta / 2007,2007,175000
1150000,Ford Focus 16 Ambiente 5 Ptas MT / Nafta / 2009,2009,265000
12500,Bmw 320i Executive 4 Ptas AT / Nafta / 2010,2010,194000
2600000,Fiat Idea Adventure 16 16V,2017,96000
4600000,VENDO CITROEN CACTUS VTI 115 FEEL,2020,29000
5600000,VENDO S10 4X2 2016 LT,2016,138000
1800000,Fiat Punto Hlx 18,2008,105000
2200000,Vectra 2011 24 ¡FULL FULL!,2011,150000
190000,Oferta Renault 11 modelo 1986,1986,250000
2500000,Peugeot 408 sport 16 thp,2011,146000
2100000,VENDO CIVIC INMACULADO,2000,220000
5800000,FIAT TORO 20 TDI VOLCANO 4x4 AT 2017 DIESEL COLOR NEGRO,2017,50000
1000000,FIAT FIORINO 2006 17TD,2006,1
3199000,Renault Fluence 2014,2014,108000
1799000,Renault Symbol 2011,2011,112000
10500,Mercedes Benz 1980 Coupe,1980,199000
3850000,Peugeot 2008 allure año 2017 nafta 16 full caja automática  68000 color gris oscuro,2017,68000
5200000,Ford Ecosport SE Impecable 2022 500,2022,500
2700000,Peugeot Partner Patagonica VTC,2013,90000
2250000,Chevrolet Cobalt 18 Lt,2014,82000
8200000,Toyota Hilux SRV 28 4x2,2018,100000
4250000,Dynamique 16 nafta/gnc 100mil ,2017,99998
980000,Vendo ford ka 2007,2007,170227
4300000,Vendo etios xls 2018,2018,35000
3200000,Peugeot 208 Allure touchscreen modelo 2016,2016,69000
3750000,Logan Zen año 2020 color negro  con gnc transferencia incluida en el precio,2020,27000
5250000,Golf 14 TSI comfortline 2016,2016,82000
295000,Fiat uno muy buen estado detalle (pintura,1997,35000
3700000,Onix joy black 14MT,2022,0
100000,vendo gacel con gnc,1986,11111111
2799000,Hyundai Tucson 2008,2008,122000
2750000,208 Active 15,2017,54000
7620000,FIAT TORO VOLCANO 20 AT 4X4,2016,29780
5750,Citroën C4 20 Bva Exclusive Am70,2009,76000
80000,Renault 12 rural,1988,54000
2600000,RENAULT CLIO MIO CONFORT PACK SAT 5 PUERTAS 2016,2016,14500
38000,Mercede Benz C250 Avantgarde,2016,45000
250000,Vendo motor Renault Laguna con caja,1997,200000
3160000,FORD FIESTA KINECTIC S 16 SEDAN 5 PUERTAS,2017,65000
2910000,FORD ECOSPORT S 16 RURAL 5 PUERTAS,2014,117000
180000,Renault R12 14 L,1988,190000
2200000,CITROEN C 3 15 TENDANCE SEDAN 5 PUERTAS,2013,79000
1760000,FIAT UNO CARGO EVO 14 SEDAN 3 PUERTAS,2016,69999
3400000,CHEVROLET PRISMA LT 14 SEDAN 4 PUERTAS C/ GNC,2018,66000
4200000,PEUGEOT 208 FELINE TIPTRONIC 2019,2019,42000
7490000,TOYOTA HILUX 4x2 TDI DX,2018,288000
900000,VENDO KA TATOO 2005 BASE,2005,117000
3400000,FORD KA SEL 5P 2018,2018,56000
3300000,TOYOTA ETIOS XLS caja 6ta,2016,86000
6850000,VW AMAROK TRENDLINE 4X4 AUT D/C 180 HP,2016,130000
3500000,PEUGEOT 208 ALLURE NAV 2018,2018,36700
4350000,Vendo DUSTER2019 16 23mil ,2019,23000
3600000,DODGE JOURNEY SXT 24,2011,135000
5112000,TOYOTA YARIS XLS 5P MT 0,2022,0
2690000,VW UP TAKE 10 SEDNA 5 PUERTAS,2017,55000
2430000,VW UP MOVE 10 SEDAN 5 PUERTAS,2014,105000
5600000,VOLKSWAGEN GOLF CONFORT 14T DSG 2016,2016,54000
39500,BMW X1 I25 XDRIVE 2017,2017,90000
2900000,FIAT 500 SPORT 14 16 V SEDAN 3 PUERTAS,2013,73000
12700000,DODGE RAM 1500 LARAMIE 2016,2016,54000
5000000,FIAT STRADA ENDURANCE 14 DOBLE CABINA,2021,10
1900000,207 ALLURE HDI 4PTS 2013,2013,114000
3650000,FORD KUGA TITANIUM 2012,2012,148000
42000,MINI COOPER PEPPER 136 CV SEDAN 5 PUERTAS AUTOMATICO PATENTADO 2021,2021,8600
3790000,VOLKSWAGEN VENTO 2015,2015,110000
3580000,CHEVROET SPIN LTZ 18 2015,2015,67000
4700000,CHEVROLET TRACKER LTZ 4×4 2016,2016,69000
3500000,Vw suran 2018,2018,90000
6300000,Impecable Fiat Toro volcano automatica caja 9na diesel 4x4,2016,120500
850000,FIAT PALIO WEEKEND 14 FIRE,2006,150000
3250000,FIAT ARGO PK CONNECT 13N,2020,41998
9000000,TOYOTA HILUX C/D SRX AT 28 TD,2016,118000
2900000,Fiat Mobi Way 2018 10,2018,25200
4200000,RENAULT KANGOO II CONFORT 5 AS 16N,2021,22000
2000000,VW GOL TREND PACK I 5P 16N,2013,91000
3000000,VW VOYAGE TRENDLINE 16N C/GNC,2017,116000
3100000,FORD ECOSPORT TITANIUM AT 20N C/GNC,2013,110000
3350000,CHEVROLET ONIX JOY + 14N,2019,38000
7250000,VW VENTO GLI NAV + DSG 20 TSI,2017,71000
5300000,VW AMAROK C/D 4x4 HIGHLINE MT 20 TD,2013,111111111
6200000,VW AMAROK C/D 4x4 DARK LABEL 180 HP AT 20TD,2015,100000
6750000,TOYOTA HILUX C/D 4x2 SRV MT 28TD,2016,111111111
4250000,RENAULT DUSTER OROCH DYNAMIQUE 16N C/GNC,2018,76000
3990000,CRONOS 13 GSE DRIVE PACK CONECTIVIDAD,2022,4000
3500000,Vendo Toyota Hilux,2012,396000
1700000,Corsa 2 2007 con GNC!! MUY BUEN ESTADO!,2007,142000
3050000,VENDO PEUGEOT 208 IMPECABLE ESTADO EXCELENTE USADO,2015,41500
2345678,Vendo Volkswagen High Up 10 2016 16mil  unica mano No hay otro asi,2016,16000
2345678,Vendo Renault Sandero 2010 16 nafta c gnc impecable estado 95mil  reales segunda mano,2010,95000
1234567,CHEVROLET CORSA II GLS DTI 2006 4PTAS 17 unico en su estado 135mil  reales unica mano de 0,2006,133000
1650000,Ford Ka 10 titular,2012,99000
630000,VW NIVUS 12 TSI RETIRÁ CON $830000 O TU USADO LL X LL Y CUOTAS DESDE $45000,2022,11111
2500000,Peugeot 408 Allure 20 nafta 2011 100mil  Muy buen estado segundo dueño VTV recien hecha todo para transferir,2011,100000
4900000,Volkswagen Vento 25 nafta 170HP 2016 Advance Plus Triptonic caja automatica 72mil  Impecable estado permuto fcio,2016,70000
3300000,Chevrolet Prisma Joy + 2017 impecable estado nafta 14 aire direccion y lev vidrios adel 65mil  unica mano,2017,65000
790000,FIAT PROCREAUTO TRABAJ ENTREGA PACTADA $590000 TOMAMOS USADOS Y CUOTAS DESDE $27000,2022,11111112
550000,KANGOO 5A RETIRÁ CON UNMINIMO ANTICIPO Y CUOTAS DESDE $30000,2022,111111
70000,Vendo Toyota Hilux gr sport,2022,1000
3900000,Liquido Chevrolet Onix Plus LT,2021,30498
2700000,PEUGEOT 408,2012,118000
2490000,FIAT PUNTO ESSENCE 16 IMPECABLE,2013,82000
1550000,Chevrolet classic LT spirit 2012,2012,158000
4600000,Chevrolet cruze sedan LTZ PLUS AT 2018,2018,69000
3456789,2008 ALLURE /2018 FULL FULL UNICA MANO INCREIBLE ESTADO IGUAL A 0  OPORTUNIDAD !!!,2018,50000
